L_loc1,L_loc2,L_lin,IL_4G
4.700,4.000,4.800,-63.049
4.700,4.000,5.020,-66.808
4.700,4.000,5.240,-53.505
4.700,4.000,5.460,-51.292
4.700,4.000,5.680,-66.545
4.700,4.000,5.900,-63.819
4.700,4.200,4.800,-40.659
4.700,4.200,5.020,-40.481
4.700,4.200,5.240,-2.029
4.700,4.200,5.460,-32.576
4.700,4.200,5.680,-42.430
4.700,4.200,5.900,-34.700
4.700,4.400,4.800,-32.078
4.700,4.400,5.020,-6.397
4.700,4.400,5.240,-28.048
4.700,4.400,5.460,-28.236
4.700,4.400,5.680,-29.398
4.700,4.400,5.900,-27.231
4.700,4.600,4.800,-24.503
4.700,4.600,5.020,-39.296
4.700,4.600,5.240,-33.220
4.700,4.600,5.460,-21.414
4.700,4.600,5.680,-35.104
4.700,4.600,5.900,-38.883
4.700,4.800,4.800,-47.727
4.700,4.800,5.020,-53.105
4.700,4.800,5.240,-42.123
4.700,4.800,5.460,-32.929
4.700,4.800,5.680,-52.061
4.700,4.800,5.900,-50.796
4.700,5.000,4.800,-45.010
4.700,5.000,5.020,-46.733
4.700,5.000,5.240,-27.817
4.700,5.000,5.460,-35.545
4.700,5.000,5.680,-47.559
4.700,5.000,5.900,-42.567
4.880,4.000,4.800,-35.877
4.880,4.000,5.020,-35.543
4.880,4.000,5.240,-25.542
4.880,4.000,5.460,-31.382
4.880,4.000,5.680,-37.027
4.880,4.000,5.900,-31.986
4.880,4.200,4.800,-12.166
4.880,4.200,5.020,-8.993
4.880,4.200,5.240,-1.643
4.880,4.200,5.460,-9.278
4.880,4.200,5.680,-12.085
4.880,4.200,5.900,-4.674
4.880,4.400,4.800,-2.691
4.880,4.400,5.020,-0.423
4.880,4.400,5.240,-0.289
4.880,4.400,5.460,-2.844
4.880,4.400,5.680,-0.741
4.880,4.400,5.900,-1.288
4.880,4.600,4.800,-5.517
4.880,4.600,5.020,-9.468
4.880,4.600,5.240,-3.238
4.880,4.600,5.460,-1.065
4.880,4.600,5.680,-8.540
4.880,4.600,5.900,-7.828
4.880,4.800,4.800,-21.368
4.880,4.800,5.020,-22.091
4.880,4.800,5.240,-12.703
4.880,4.800,5.460,-16.302
4.880,4.800,5.680,-22.986
4.880,4.800,5.900,-19.015
4.880,5.000,4.800,-17.047
4.880,5.000,5.020,-15.236
4.880,5.000,5.240,-5.716
